UBI	NAICS	OPEN DATE	CLOSE DATE
602128060	999990	06/14/2001	OPEN
602089920	999990	01/10/2001	OPEN
602113705	238160	04/01/2001	03/31/2008
602066620	424460	02/01/1997	OPEN
602127926	541990	06/08/2001	12/31/2011
602099666	448310	01/01/2001	OPEN
602078671	999990	11/01/2000	OPEN
602087359	812320	01/01/2001	OPEN
602064314	623312	09/01/2000	OPEN
602130170	999990	06/21/2001	OPEN
602065240	453998	09/01/2000	12/31/2008
602128869	561730	06/05/2008	OPEN
602121801	238320	05/01/2001	06/30/2003
602103757	999990	02/07/2001	OPEN
602108298	111140	03/26/2001	OPEN
602130582	454390	10/01/2002	OPEN
602083004	561440	01/01/2001	OPEN
602065917	811111	05/01/2001	12/31/2003
602117149	442210	01/01/2002	12/19/2002
602111027	541430	04/01/2001	OPEN
602077591	312130	06/01/2001	03/31/2011
602074216	423820	01/01/2001	07/19/2010
602098895	999990	02/15/2001	OPEN
602116871	532299	04/01/2001	06/30/2011
602106828	238320	04/01/2001	OPEN
602092571	518210	01/01/2001	12/31/2003
602117651	999990	null	OPEN
602083213	541110	01/01/2001	OPEN
602064542	999990	09/11/2000	OPEN
602074345	541430	10/01/2000	OPEN
602109684	541820	04/01/2001	08/31/2003
602093870	561499	01/19/2001	02/01/2002
602090553	541519	11/01/2001	09/30/2003
602100830	453998	02/26/2001	02/26/2001
602067563	421690	09/01/2000	09/01/2000
602104101	522320	06/01/2001	06/01/2001
602071749	238910	09/01/2014	OPEN
602078757	999990	11/15/2000	OPEN
602109089	453998	04/01/2001	09/30/2006
602063007	999990	09/05/2000	OPEN
602093169	336350	01/01/2001	06/30/2007
602099502	711110	02/01/2001	06/30/2013
602069238	236115	09/01/2000	OPEN
602117424	722515	04/01/2001	12/31/2011
602090261	238320	03/01/2001	02/25/2013
602123387	238330	06/01/2001	04/01/2003
602088840	424490	01/01/2001	OPEN
602083962	424490	10/01/2001	11/30/2002
602074676	999990	10/25/2000	OPEN
602096883	999990	02/06/2001	OPEN
602105669	238140	03/01/2001	12/31/2011
602106223	514199	01/01/2001	04/09/2002
602093951	424450	01/01/2001	OPEN
602073378	541310	10/01/2000	OPEN
602084148	532411	08/01/2002	02/25/2013
602078240	541511	10/26/2000	OPEN
602072346	561110	10/01/2000	05/05/2008
602110656	813410	04/01/2001	OPEN
602131703	813990	06/29/2001	OPEN
602069679	999990	10/02/2000	OPEN
602090803	522320	01/01/2001	OPEN
602093842	423130	01/01/2001	07/31/2006
602075551	519110	09/01/2000	OPEN
602061350	541512	09/01/2000	12/31/2000
602123991	999990	05/29/2001	OPEN
602062642	424940	09/01/2000	OPEN
602080173	444220	01/01/2001	OPEN
602119230	561730	03/23/2001	12/31/2001
602092877	999990	01/23/2001	OPEN
602085859	238320	12/01/2000	OPEN
602126890	532291	06/15/2001	12/31/2002
602088985	621210	01/01/2001	OPEN
602126170	561790	06/01/2001	OPEN
602117203	561110	06/01/2001	12/31/2006
602086082	531210	12/01/2000	12/01/2000
602128738	113310	06/01/2001	OPEN
602077567	999990	null	OPEN
602065889	541213	09/01/2000	12/31/2000
602075853	999990	null	OPEN
602075068	238160	10/01/2000	12/31/2009
602118913	522298	05/01/2001	OPEN
602111019	722515	06/01/2001	02/15/2007
602070772	621210	10/06/2000	OPEN
602104874	562219	05/01/2001	06/30/2001
602076932	999990	11/07/2000	OPEN
602127423	999990	06/11/2001	OPEN
602117530	488510	05/01/2001	12/31/2001
602112288	541613	08/10/2001	12/31/2013
602097270	722515	04/01/2001	03/31/2002
602066827	334413	09/20/2000	03/31/2005
602077789	237210	11/01/2000	OPEN
602125075	238350	06/01/2001	OPEN
602070005	541519	10/01/2000	OPEN
602131015	541519	06/20/2001	OPEN
602111848	522220	07/01/2001	12/31/2012
602121755	999990	null	OPEN
602109432	522310	01/01/2001	OPEN
602076620	812990	10/01/2000	03/31/2001
602085043	999990	12/18/2000	OPEN
602079594	999990	10/10/2000	OPEN
602095917	447110	01/25/2001	OPEN
602102016	999990	02/26/2001	OPEN
602079974	531312	11/21/2000	OPEN
602119798	999990	null	OPEN
602102146	541614	03/30/2001	OPEN
602081353	999990	11/28/2000	OPEN
602096712	454390	01/01/2001	02/25/2013
602073745	531190	09/01/2000	OPEN
602082905	325998	01/01/2001	03/31/2009
602085014	999990	12/18/2000	OPEN
602115732	999990	04/23/2001	OPEN
602120044	236118	04/01/2001	09/30/2008
602061682	525930	08/01/2000	08/01/2000
602107949	722511	04/01/2001	12/31/2005
602087408	999990	12/28/2000	OPEN
602065798	337110	09/01/2000	OPEN
602066353	334614	09/01/2000	OPEN
602091339	237210	01/01/2001	12/31/2007
602067920	621210	10/01/2000	OPEN
602075114	811490	01/01/2001	07/31/2011
602100994	561790	02/01/2001	04/15/2004
602111305	621210	04/01/2001	OPEN
602061722	522293	08/01/2000	08/01/2000
602082521	238320	01/01/2001	OPEN
602080344	621210	01/01/2001	OPEN
602117799	541614	04/01/2001	OPEN
602119233	238320	06/01/2001	OPEN
602083878	null	11/30/2000	OPEN
602132623	113310	01/01/2002	OPEN
602071483	999990	10/11/2000	OPEN
602110155	551114	06/01/2010	12/31/2013
602129671	null	null	OPEN
602104057	561499	07/01/2001	OPEN
602077930	999990	11/13/2000	OPEN
602121465	541611	05/01/2001	OPEN
602082334	454111	12/01/2000	OPEN
602117760	721110	07/01/2001	06/23/2005
602087586	999990	12/29/2000	OPEN
602110182	999990	02/13/2001	OPEN
602079056	561990	08/01/2001	OPEN
602116234	999990	03/14/2001	OPEN
602121389	813990	05/16/2001	OPEN
602128715	811310	06/24/2001	OPEN
602109974	722511	08/01/2001	06/30/2003
602074839	541690	11/01/2000	12/31/2004
602077199	999990	11/08/2000	OPEN
602107584	999990	03/19/2001	OPEN
602098269	541511	01/01/2001	12/31/2004
602122634	722513	11/01/2002	12/31/2005
602103351	999990	02/26/2001	OPEN
602122543	512110	05/01/2001	OPEN
602070398	999990	10/06/2000	OPEN
602108783	722511	04/01/2001	04/30/2001
602116832	424490	05/01/2001	OPEN
602097289	999990	02/07/2001	OPEN
602098358	238990	04/01/2001	OPEN
602110877	531311	11/01/2011	12/31/2013
602114351	541820	04/01/2001	OPEN
602064185	999990	09/08/2000	OPEN
602111826	561730	04/01/2001	11/30/2007
602066441	448140	10/01/2002	02/28/2003
602114048	999990	04/16/2001	OPEN
602065481	532120	12/01/2000	OPEN
602090389	999990	12/12/2000	OPEN
602072218	512110	10/01/2000	OPEN
602064348	485310	09/08/2000	OPEN
602063093	236118	09/01/2000	07/11/2002
602080610	621210	01/01/2001	OPEN
602089194	236118	01/01/2001	09/30/2010
602103668	511210	03/01/2001	03/01/2001
602086357	999990	12/21/2000	OPEN
602112439	323111	01/01/2002	12/31/2007
602086179	561790	01/01/2001	OPEN
602106045	541611	03/01/2001	12/31/2005
602106065	722513	03/13/2001	03/30/2012
602106572	541310	04/01/2001	OPEN
602108251	813110	01/11/2008	OPEN
602085396	813319	01/01/2001	OPEN
602082729	561320	02/01/2001	02/01/2001
602125299	238220	01/01/2002	OPEN
602063925	999990	09/08/2000	OPEN
602101992	561710	03/01/2001	OPEN
602077242	999990	11/06/2000	OPEN
602109830	999990	03/28/2001	OPEN
602089300	541618	02/01/2001	02/01/2001
602124833	null	null	OPEN
602063503	722513	10/01/2000	12/31/2006
602081365	541211	01/01/2001	09/30/2006
602085580	236220	01/01/2001	OPEN
602111345	null	null	OPEN
602115867	423990	04/25/2001	12/31/2002
602063838	541519	09/01/2000	12/31/2002
602075117	488119	10/01/2000	OPEN
602076759	999990	10/18/2000	OPEN
602061985	484110	09/08/2000	OPEN
602123568	453998	06/01/2001	03/31/2003
602084773	999990	12/12/2000	OPEN
602123721	812310	05/01/2001	12/31/2002
602126148	999990	06/05/2001	OPEN
