YEAR	POPULATION																																
7/1/1981	4235731																																
7/1/1982	4276552																																
7/1/1983	4300266																																
7/1/1984	4343656																																
7/1/1985	4400098																																
7/1/1986	4452720																																
7/1/1987	4531901																																
7/1/1988	4639893																																
7/1/1989	4746316																																
7/1/1990	4900780																																
7/1/1991	5013443																																
7/1/1992	5139011																																
7/1/1993	5247704																																
7/1/1994	5334896																																
7/1/1995	5431024																																
7/1/1996	5509963																																
7/1/1997	5604105																																
7/1/1998	5687832																																
7/1/1999	5756361																																
7/1/2000	"5,910,512"																																
7/1/2001	"5,985,722"																																
7/1/2002	"6,052,349"																																
7/1/2003	"6,104,115"																																
7/1/2004	"6,178,645"																																
7/1/2005	"6,257,305"																																
7/1/2006	"6,370,753"																																
7/1/2007	"6,461,587"																																
7/1/2008	"6,562,231"																																
7/1/2009	"6,667,426"																																
7/1/2010	"6,724,540"																																
7/1/2011	"6,821,481"																																
7/1/2012	"6,895,318"																																
7/1/2013	"6,971,406"																																
